=== Run information ===

Scheme:       weka.associations.FPGrowth -P 2 -I 2 -N 100000 -T 0 -C 0.4 -D 0.05 -U 1.0 -M 2.0E-4
Relation:     tcm
Instances:    4595
Attributes:   4052
[list of attributes omitted]
=== Associator model (full training set) ===

FPGrowth found 25776 rules (displaying top 25776)

    1. [葛根黄芩黄连汤=t]: 5 ==> [发热=t]: 5   <conf:(1)> lift:(6.58) lev:(0) conv:(4.24) 
    2. [暑病=t]: 4 ==> [发热=t]: 4   <conf:(1)> lift:(6.58) lev:(0) conv:(3.39) 
    3. [香薷饮=t]: 3 ==> [发热=t]: 3   <conf:(1)> lift:(6.58) lev:(0) conv:(2.54) 
    4. [食积发热=t]: 3 ==> [发热=t]: 3   <conf:(1)> lift:(6.58) lev:(0) conv:(2.54) 
    5. [牛黄至宝丹=t]: 3 ==> [发热=t]: 3   <conf:(1)> lift:(6.58) lev:(0) conv:(2.54) 
    6. [急性白血病=t]: 3 ==> [发热=t]: 3   <conf:(1)> lift:(6.58) lev:(0) conv:(2.54) 
    7. [小儿高热=t]: 3 ==> [发热=t]: 3   <conf:(1)> lift:(6.58) lev:(0) conv:(2.54) 
    8. [三黄石膏汤=t]: 3 ==> [发热=t]: 3   <conf:(1)> lift:(6.58) lev:(0) conv:(2.54) 
    9. [三阳合病=t]: 3 ==> [发热=t]: 3   <conf:(1)> lift:(6.58) lev:(0) conv:(2.54) 
   10. [高热昏迷=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   11. [风温证=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   12. [风温夹痰=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   13. [败酱散=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   14. [败毒散=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   15. [解表散=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   16. [脓疱型银屑病=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   17. [经行如崩=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   18. [痉证=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   19. [甲字提毒药捻=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   20. [生肌定痛散=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   21. [甘草附子汤=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   22. [珍珠散=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   23. [烂喉痧=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   24. [清胰汤=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   25. [桂枝麻黄各半汤=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   26. [栀豉汤=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
   27. [术后高热=t]: 2 ==> [发热=t]: 2   <conf:(1)> lift:(6.58) lev:(0) conv:(1.7) 
